temperatura,humedad,presion,viento,direccion_viento,visibilidad,precipitacion,descripcion,tipo_nubes,timestamp,runway_heading,viento_cruzado,viento_frente,rafagas,techo_nubes,turbulencia,estado_pista,altitud_aeropuerto,altitud_densidad,punto_rocio,riesgo_hielo,tormenta_electrica,cizalladura_viento,hora,mes,dia_año,es_noche,riesgo,source
33.4,43,1026,1.0,257,8780,0.0,despejado,despejado,,135,0.8,-0.5,1.2,6885,ninguna,seca,2000,4688.0,26.9,False,False,False,17,9,267,False,BAJO,synthetic
19.7,52,1018,9.7,48,8567,0.0,despejado,despejado,,270,6.5,-7.2,11.6,5386,leve,seca,2500,3664.0,12.0,False,False,False,7,11,308,False,BAJO,synthetic
12.0,70,1007,12.5,270,4148,7.8,lluvia_ligera,cubierto,,90,0.0,-12.5,16.2,2367,leve,humeda,1000,880.0,2.2,False,False,False,10,10,283,False,BAJO,synthetic
31.7,50,1025,16.7,296,9684,0.0,despejado,despejado,,135,5.4,-15.8,23.4,14196,ninguna,seca,2000,4484.0,24.4,False,False,False,10,2,30,False,BAJO,synthetic
30.0,30,1028,8.8,124,8968,0.0,despejado,despejado,,45,8.6,1.7,11.4,11833,leve,seca,500,2420.0,20.7,False,False,False,7,3,80,False,BAJO,synthetic
13.3,98,1009,4.1,333,2330,1.5,niebla,cubierto,,90,3.7,-1.9,5.3,642,ninguna,mojada,0,-204.0,12.9,False,False,False,12,2,49,False,MODERADO,synthetic
9.83,71,1019,6.8759999999999994,90,10000,0.0,clouds,nublado,2026-02-05 09:00:00,130,4.4,5.3,8.9,2000,ninguna,seca,8361,9747.0,4.0,False,False,False,20,2,35,False,BAJO,real_forecast
1.4,84,1009,33.9,183,3737,9.0,nieve,cubierto,,0,1.8,-33.9,37.3,517,moderada,nevada,2500,1468.0,-1.9,False,False,False,5,5,146,True,ALTO,synthetic
8.6,89,999,41.5,169,1269,22.9,tormenta,cubierto,,135,23.2,34.4,49.8,984,severa,mojada,1000,472.0,4.3,False,True,True,5,6,166,True,ALTO,synthetic
17.08,70,1015,10.692,287,10000,0.20666666666666667,rain,cubierto,2026-02-06 18:00:00,130,4.2,-9.8,13.9,1000,ninguna,mojada,8361,10617.0,11.1,False,False,False,20,2,35,False,BAJO,real_forecast
30.5,51,1030,3.5,74,9623,0.0,despejado,despejado,,45,1.7,3.1,4.9,11356,leve,seca,2500,4960.0,17.8,False,False,False,12,1,8,False,BAJO,synthetic
17.5,74,1020,10.9,87,6774,7.3,lluvia_ligera,cubierto,,135,8.1,7.3,14.2,1575,moderada,humeda,0,300.0,12.9,False,False,False,4,9,269,True,BAJO,synthetic
14.25,57,1018,7.704000000000001,87,10000,0.0,clouds,nublado,2026-02-05 03:00:00,130,5.3,5.6,10.0,2000,ninguna,seca,8361,10278.0,5.7,False,False,False,20,2,35,False,BAJO,real_forecast
16.9,30,1025,19.4,196,8575,0.0,despejado,despejado,,270,18.6,5.3,27.2,10578,leve,seca,2500,3328.0,9.2,False,False,False,13,12,352,False,BAJO,synthetic
0.9,87,1016,16.8,257,3527,19.2,nieve,cubierto,,45,8.9,-14.2,25.2,1644,moderada,nevada,500,-1072.0,-3.8,False,False,False,22,12,341,True,MODERADO,synthetic
9.7,100,997,44.0,193,1921,32.7,tormenta,cubierto,,225,23.3,37.3,52.8,533,moderada,contaminada,0,-636.0,9.6,True,True,False,0,1,23,True,ALTO,synthetic
8.1,93,1018,7.2,236,2310,0.0,niebla,cubierto,,45,1.4,-7.1,10.8,663,ninguna,humeda,2500,2272.0,6.3,False,False,False,5,10,286,True,MODERADO,synthetic
19.0,74,1008,23.4,332,8502,1.5,nublado,dispersas,,135,6.8,-22.4,28.1,2106,ninguna,humeda,2000,2960.0,14.2,False,False,False,19,2,57,False,BAJO,synthetic
16.7,59,1019,16.6,1,8992,0.8,nublado,nublado,,90,16.6,0.3,21.6,1819,ninguna,seca,2000,2684.0,6.8,False,False,False,16,5,145,False,BAJO,synthetic
15.9,96,986,20.5,277,3313,19.4,lluvia_fuerte,cubierto,,315,12.6,16.2,28.7,597,moderada,contaminada,2000,2588.0,15.1,False,False,False,7,12,360,False,ALTO,synthetic
15.2,78,1007,20.2,211,5750,4.7,lluvia_ligera,nublado,,270,17.3,10.4,24.2,2468,leve,mojada,2500,3124.0,12.2,False,False,False,4,8,226,True,MODERADO,synthetic
15.2,93,1014,7.1,314,2042,1.2,niebla,cubierto,,90,4.9,-5.1,7.8,800,ninguna,humeda,0,24.0,13.8,False,False,False,23,12,356,True,MODERADO,synthetic
14.2,84,1003,10.5,308,3731,5.2,lluvia_ligera,nublado,,225,10.4,1.3,15.8,1097,moderada,humeda,0,-96.0,9.6,False,False,False,18,4,95,False,MODERADO,synthetic
17.68,49,1017,4.212,154,10000,0.0,clouds,cubierto,2026-02-05 15:00:00,130,1.7,3.8,5.5,1000,ninguna,seca,8361,10689.0,7.5,False,False,False,20,2,35,False,BAJO,real_forecast
9.2,89,1016,29.4,304,3572,6.3,lluvia_ligera,nublado,,315,5.6,28.9,38.2,1915,moderada,humeda,0,-696.0,6.4,True,False,False,7,11,323,False,MODERADO,synthetic
20.3,79,1010,16.9,294,3906,3.8,lluvia_ligera,cubierto,,0,15.4,6.9,23.7,1084,moderada,humeda,1000,1876.0,15.6,False,False,False,3,4,95,True,MODERADO,synthetic
23.6,57,1007,5.1,61,7717,0.5,nublado,dispersas,,45,1.4,4.9,6.6,3665,leve,humeda,2500,4132.0,11.7,False,False,False,17,12,354,False,BAJO,synthetic
13.9,84,1015,38.6,127,4637,13.2,granizo,cubierto,,135,5.4,38.2,42.5,831,severa,contaminada,2500,2968.0,10.5,False,True,True,6,6,166,False,ALTO,synthetic
14.2,84,1019,22.9,210,6982,5.8,lluvia_ligera,cubierto,,315,22.1,-5.9,29.8,1047,leve,mojada,2500,3004.0,10.8,False,False,False,10,1,8,False,MODERADO,synthetic
14.7,89,996,34.0,278,2443,24.8,tormenta,cubierto,,315,20.5,27.2,44.2,323,severa,mojada,2000,2444.0,10.9,False,True,False,1,4,106,True,ALTO,synthetic
16.5,74,1001,46.1,196,2581,13.3,granizo,cubierto,,0,12.7,-44.3,55.3,1220,severa,contaminada,0,180.0,13.8,False,True,False,6,5,140,False,ALTO,synthetic
15.0,89,1007,46.5,32,3737,21.7,granizo,cubierto,,270,39.4,-24.6,65.1,1244,severa,contaminada,2500,3100.0,11.2,False,True,False,7,7,209,False,ALTO,synthetic
11.4,95,1014,7.5,235,2341,0.8,niebla,cubierto,,90,4.3,-6.1,10.5,309,ninguna,humeda,500,188.0,11.2,False,False,False,19,11,306,False,MODERADO,synthetic
29.1,51,1025,12.8,109,9681,0.0,despejado,despejado,,90,4.2,12.1,15.4,11406,ninguna,seca,1000,2932.0,22.8,False,False,False,20,4,96,False,BAJO,synthetic
19.0,75,1019,27.3,60,4405,7.2,lluvia_ligera,nublado,,0,23.6,13.7,35.5,1660,leve,humeda,2500,3580.0,16.3,False,False,False,14,3,81,False,MODERADO,synthetic
16.3,50,1003,16.0,5,7875,0.1,nublado,nublado,,225,10.3,-12.3,24.0,3835,leve,seca,2000,2636.0,7.6,False,False,False,22,1,7,True,BAJO,synthetic
24.8,69,1015,11.6,117,6577,1.5,nublado,dispersas,,0,10.3,-5.3,15.1,3228,leve,seca,500,1796.0,16.1,False,False,False,23,1,14,True,BAJO,synthetic
12.2,75,1000,10.6,304,7363,1.9,nublado,nublado,,270,5.9,8.8,12.7,2606,leve,seca,2500,2764.0,9.2,False,False,False,10,2,36,False,BAJO,synthetic
19.5,45,1013,1.4,255,9815,0.0,despejado,despejado,,90,0.4,-1.4,2.0,11744,leve,seca,2500,3640.0,12.2,False,False,False,23,3,61,True,BAJO,synthetic
8.9,76,1005,10.8,129,5620,4.3,lluvia_ligera,cubierto,,135,1.1,10.7,15.1,1774,moderada,mojada,2500,2368.0,5.8,False,False,False,19,7,208,False,BAJO,synthetic
18.5,67,1016,17.8,76,7526,0.4,nublado,nublado,,135,15.3,9.2,24.9,2051,leve,seca,500,1040.0,9.2,False,False,False,5,4,100,True,BAJO,synthetic
15.8,91,1004,43.6,338,3673,22.5,lluvia_fuerte,cubierto,,45,40.1,17.0,52.3,922,moderada,mojada,2500,3196.0,14.8,False,False,False,6,10,277,False,ALTO,synthetic
22.7,73,1000,21.8,345,6864,1.7,nublado,dispersas,,315,10.9,18.9,28.3,2496,leve,humeda,2000,3404.0,18.8,False,False,False,1,2,53,True,BAJO,synthetic
-2.5,88,1015,20.5,145,2907,12.3,nieve,cubierto,,90,16.8,11.8,28.7,521,leve,contaminada,2500,1000.0,-5.5,False,False,False,21,2,51,True,ALTO,synthetic
26.3,73,1009,10.5,117,6810,0.3,nublado,dispersas,,315,3.2,-10.0,12.6,3572,ninguna,humeda,2000,3836.0,23.5,False,False,False,17,9,255,False,BAJO,synthetic
10.0,77,1016,48.5,168,3194,26.0,granizo,cubierto,,135,26.4,40.7,67.9,1427,severa,mojada,2000,1880.0,6.2,False,True,False,17,11,302,False,ALTO,synthetic
11.3,97,1007,9.1,22,2265,0.7,niebla,cubierto,,90,8.4,3.4,10.0,362,ninguna,mojada,500,176.0,9.7,False,False,False,2,11,308,True,MODERADO,synthetic
13.9,98,1017,5.5,30,2011,1.4,niebla,cubierto,,45,1.4,5.3,6.6,310,ninguna,mojada,1000,1108.0,13.0,False,False,False,9,2,45,False,MODERADO,synthetic
25.7,61,1020,13.5,331,6269,0.9,nublado,nublado,,270,11.8,6.5,20.2,3645,ninguna,seca,2500,4384.0,17.2,False,False,False,8,11,304,False,BAJO,synthetic
18.5,89,1003,23.9,2,4825,4.6,lluvia_ligera,cubierto,,0,0.8,23.9,35.8,912,moderada,mojada,500,1040.0,15.6,False,False,False,14,3,81,False,MODERADO,synthetic
14.5,92,1011,6.2,251,2473,1.8,niebla,cubierto,,0,5.9,-2.0,8.7,426,ninguna,humeda,2500,3040.0,13.7,False,False,False,16,5,132,False,MODERADO,synthetic
9.6,79,1008,10.5,162,3514,2.3,lluvia_ligera,cubierto,,270,10.0,-3.2,13.7,1765,leve,mojada,1000,592.0,5.0,False,False,False,12,1,22,False,BAJO,synthetic
-6.2,91,1013,13.8,187,3384,19.7,nieve,cubierto,,225,8.5,10.9,20.7,1814,moderada,contaminada,500,-1924.0,-6.8,False,False,False,3,11,329,True,ALTO,synthetic
12.9,89,985,27.6,21,3574,24.4,lluvia_fuerte,cubierto,,315,25.2,11.2,35.9,1132,moderada,mojada,2500,2848.0,10.7,False,True,False,10,2,57,False,ALTO,synthetic
5.8,93,992,33.1,320,963,33.0,tormenta,cubierto,,135,2.9,-33.0,43.0,836,moderada,contaminada,2000,1376.0,5.0,True,True,False,22,4,102,True,ALTO,synthetic
10.8,80,1016,27.7,222,6396,4.5,lluvia_ligera,cubierto,,180,18.5,20.6,36.0,1957,moderada,humeda,2000,1976.0,8.1,False,False,False,15,4,109,False,MODERADO,synthetic
14.9,100,1020,8.0,120,1747,1.0,niebla,cubierto,,0,6.9,-4.0,9.6,629,ninguna,humeda,2500,3088.0,12.9,False,False,False,20,2,59,False,MODERADO,synthetic
26.8,34,1014,14.4,315,8495,0.0,despejado,despejado,,270,10.2,10.2,15.8,14811,leve,seca,500,2036.0,15.8,False,False,False,1,12,336,True,BAJO,synthetic
21.3,39,1020,11.1,181,8036,0.0,despejado,despejado,,315,8.0,-7.7,14.4,5593,leve,seca,500,1376.0,12.6,False,False,False,22,11,329,True,BAJO,synthetic
10.3,95,1003,42.5,245,2145,26.3,tormenta,cubierto,,0,38.5,-18.0,59.5,712,severa,mojada,2000,1916.0,8.3,False,True,False,3,3,68,True,ALTO,synthetic
15.1,96,987,49.5,158,2228,24.9,tormenta,cubierto,,315,19.3,-45.6,64.4,379,severa,contaminada,2500,3112.0,13.8,False,True,False,0,5,123,True,ALTO,synthetic
24.2,69,1011,11.9,45,8569,1.1,nublado,dispersas,,270,8.4,-8.4,14.3,2082,leve,humeda,0,1104.0,12.8,False,False,False,9,12,346,False,BAJO,synthetic
18.3,53,1002,12.0,41,7488,1.1,nublado,dispersas,,180,7.9,-9.1,16.8,3639,leve,seca,2000,2876.0,10.1,False,False,False,12,11,329,False,BAJO,synthetic
12.8,100,1005,6.5,260,867,1.5,niebla,cubierto,,90,1.1,-6.4,9.1,373,ninguna,humeda,1000,976.0,11.6,False,False,False,15,11,300,False,MODERADO,synthetic
17.9,93,1012,3.0,7,1332,1.3,niebla,cubierto,,0,0.4,3.0,3.9,441,ninguna,mojada,2000,2828.0,16.3,False,False,False,3,3,72,True,MODERADO,synthetic
15.7,99,1019,0.6,74,1269,0.1,niebla,cubierto,,135,0.5,0.3,0.8,519,ninguna,mojada,500,704.0,13.7,False,False,False,20,5,146,False,MODERADO,synthetic
19.8,59,1008,23.9,106,7366,1.5,nublado,nublado,,0,23.0,-6.6,35.8,1617,leve,seca,2000,3056.0,5.0,False,False,False,11,4,110,False,MODERADO,synthetic
27.1,52,1027,0.5,21,8103,0.0,despejado,despejado,,135,0.5,-0.2,0.6,12259,ninguna,seca,2000,3932.0,15.3,False,False,False,14,8,231,False,BAJO,synthetic
31.6,53,1027,0.4,291,9591,0.0,despejado,despejado,,315,0.2,0.4,0.4,6168,ninguna,seca,0,1992.0,17.3,False,False,False,5,6,171,True,BAJO,synthetic
14.2,75,1009,15.8,212,7310,0.9,nublado,nublado,,225,3.6,15.4,20.5,1803,leve,seca,2000,2384.0,11.4,False,False,False,17,11,312,False,BAJO,synthetic
12.5,85,1007,11.9,138,4991,2.9,lluvia_ligera,nublado,,45,11.9,-0.6,15.5,1574,leve,mojada,2500,2800.0,10.4,False,False,False,22,8,210,True,MODERADO,synthetic
9.2,95,1006,3.7,220,2228,0.8,niebla,cubierto,,225,0.3,3.7,4.8,473,ninguna,mojada,0,-696.0,8.1,True,False,False,0,2,44,True,MODERADO,synthetic
7.8,96,1009,7.7,41,2360,0.7,niebla,cubierto,,135,7.7,-0.5,9.2,413,ninguna,humeda,0,-864.0,6.2,True,False,False,12,5,130,False,MODERADO,synthetic
29.6,45,1019,0.1,357,8553,0.0,despejado,despejado,,45,0.1,0.1,0.1,14544,leve,seca,2000,4232.0,15.7,False,False,False,12,8,226,False,BAJO,synthetic
21.8,77,1019,25.6,307,5138,6.0,lluvia_ligera,cubierto,,270,15.4,20.4,33.3,1989,moderada,humeda,1000,2056.0,16.8,False,False,False,7,1,14,False,MODERADO,synthetic
8.9,78,1004,10.7,335,6988,2.3,lluvia_ligera,cubierto,,180,4.5,-9.7,11.8,2319,leve,humeda,500,-112.0,4.9,False,False,False,12,2,44,False,BAJO,synthetic
19.3,44,1019,16.7,268,8341,0.0,despejado,despejado,,135,12.2,-11.4,23.4,7446,leve,seca,500,1136.0,8.8,False,False,False,8,9,249,False,BAJO,synthetic
10.8,76,1001,13.2,266,6395,7.2,lluvia_ligera,nublado,,180,13.2,0.9,15.8,2187,leve,mojada,2000,1976.0,8.1,False,False,False,2,12,340,True,MODERADO,synthetic
14.6,93,990,52.3,304,1849,35.0,tormenta,cubierto,,315,10.0,51.3,68.0,546,moderada,contaminada,0,-48.0,14.4,False,True,True,5,9,247,True,ALTO,synthetic
12.6,73,1012,14.9,114,6077,0.4,nublado,dispersas,,225,13.9,-5.3,19.4,2446,leve,seca,500,332.0,8.8,False,False,False,17,8,217,False,BAJO,synthetic
17.5,96,1008,6.0,179,2403,1.4,niebla,cubierto,,315,4.2,-4.3,7.8,310,ninguna,humeda,500,920.0,15.6,False,False,False,8,5,135,False,MODERADO,synthetic
34.0,37,1010,1.2,262,8352,0.0,despejado,despejado,,315,1.0,0.7,1.8,14115,ninguna,seca,0,2280.0,26.7,False,False,False,2,11,316,True,BAJO,synthetic
24.7,25,1026,12.5,218,9285,0.0,despejado,despejado,,180,7.7,9.9,16.2,12576,ninguna,seca,0,1164.0,11.6,False,False,False,20,8,212,False,BAJO,synthetic
20.4,72,1008,15.2,121,4207,5.1,lluvia_ligera,nublado,,270,7.8,-13.0,18.2,1917,leve,humeda,500,1268.0,18.4,False,False,False,16,12,356,False,BAJO,synthetic
20.7,76,1011,18.0,150,5293,4.2,lluvia_ligera,cubierto,,135,4.7,17.4,21.6,1973,moderada,mojada,2000,3164.0,16.2,False,False,False,17,5,129,False,BAJO,synthetic
0.4,88,1010,34.4,191,3835,13.8,nieve,cubierto,,270,33.8,6.6,48.2,1151,moderada,contaminada,0,-1752.0,-4.2,False,False,False,6,8,220,False,ALTO,synthetic
18.6,27,1018,14.9,264,9489,0.0,despejado,despejado,,45,9.4,-11.6,19.4,7944,leve,seca,2500,3532.0,13.1,False,False,False,10,5,140,False,BAJO,synthetic
14.3,89,1006,10.6,24,3943,6.6,lluvia_ligera,nublado,,315,9.9,3.8,11.7,2177,moderada,humeda,2500,3016.0,11.4,False,False,False,1,2,58,True,MODERADO,synthetic
14.7,72,1014,24.2,261,3665,7.0,lluvia_ligera,cubierto,,225,14.2,19.6,29.0,1133,moderada,mojada,0,-36.0,11.0,False,False,False,6,10,280,False,MODERADO,synthetic
10.97,72,1020,6.768,84,10000,0.0,clouds,nublado,2026-02-05 12:00:00,130,4.9,4.7,8.8,2000,ninguna,seca,8361,9884.0,5.4,False,False,False,20,2,35,False,BAJO,real_forecast
-7.2,77,1018,12.9,209,3299,9.2,nieve,cubierto,,180,6.3,11.3,16.8,1133,leve,contaminada,500,-2044.0,-9.3,False,False,False,3,12,363,True,MODERADO,synthetic
12.5,84,1013,14.0,335,3806,4.7,lluvia_ligera,nublado,,45,13.2,4.8,16.8,979,moderada,mojada,2500,2800.0,10.2,False,False,False,9,4,94,False,MODERADO,synthetic
21.3,51,1003,12.9,278,8365,0.3,nublado,nublado,,315,7.8,10.3,16.8,3097,leve,humeda,500,1376.0,14.7,False,False,False,16,10,298,False,BAJO,synthetic
15.4,90,987,50.7,247,1112,28.7,tormenta,cubierto,,0,46.7,-19.8,60.8,983,severa,mojada,2000,2528.0,10.9,False,True,False,20,7,193,False,ALTO,synthetic
9.3,76,1019,20.4,344,5853,4.9,lluvia_ligera,cubierto,,135,9.9,-17.8,24.5,2055,moderada,humeda,500,-64.0,6.3,False,False,False,13,9,264,False,MODERADO,synthetic
14.5,75,1015,13.7,291,4883,2.7,lluvia_ligera,nublado,,315,5.6,12.5,17.8,1038,moderada,humeda,2500,3040.0,11.0,False,False,False,9,8,210,False,MODERADO,synthetic
23.3,57,1008,21.0,287,6121,1.0,nublado,dispersas,,0,20.1,6.1,31.5,3861,leve,humeda,500,1616.0,15.4,False,False,False,15,6,152,False,MODERADO,synthetic
17.4,90,982,48.5,37,2559,18.5,tormenta,cubierto,,180,29.2,-38.7,63.1,641,moderada,mojada,2500,3388.0,14.4,False,True,False,15,8,239,False,ALTO,synthetic
14.6,66,1005,19.0,108,7450,0.2,nublado,nublado,,315,8.6,-16.9,28.5,3371,leve,seca,2000,2432.0,3.1,False,False,False,15,5,121,False,BAJO,synthetic
13.12,92,1017,5.004,135,10000,0.8933333333333334,rain,cubierto,2026-02-06 00:00:00,130,0.4,5.0,6.5,1000,ninguna,mojada,8361,10142.0,11.5,False,False,False,20,2,35,False,BAJO,real_forecast
5.7,92,1017,0.4,121,856,1.4,niebla,cubierto,,45,0.4,0.1,0.6,346,ninguna,humeda,500,-496.0,4.6,True,False,False,7,2,56,False,MODERADO,synthetic
14.7,94,1004,50.5,27,925,21.0,tormenta,cubierto,,90,45.0,22.9,75.8,600,severa,mojada,0,-36.0,14.6,False,True,True,4,5,133,True,ALTO,synthetic
5.7,89,991,27.5,235,1268,15.3,lluvia_fuerte,cubierto,,180,22.5,15.8,30.3,1058,moderada,contaminada,500,-496.0,1.6,False,False,False,11,6,157,False,ALTO,synthetic
24.9,77,1001,36.6,0,2510,12.3,granizo,cubierto,,45,25.9,25.9,47.6,1333,severa,mojada,1000,2428.0,21.8,False,True,False,5,8,225,True,ALTO,synthetic
15.5,94,1002,1.1,336,2413,0.9,niebla,cubierto,,135,0.4,-1.0,1.5,691,ninguna,humeda,500,680.0,15.3,False,False,False,0,4,101,True,MODERADO,synthetic
4.4,84,1010,13.9,54,1137,6.6,nieve,cubierto,,315,13.7,-2.2,16.7,1580,leve,nevada,0,-1272.0,2.2,True,False,False,1,12,334,True,ALTO,synthetic
8.7,83,1008,21.6,190,5694,3.7,lluvia_ligera,nublado,,135,17.7,12.4,30.2,1668,leve,humeda,0,-756.0,4.0,False,False,False,11,10,277,False,MODERADO,synthetic
30.5,41,1020,8.3,3,9809,0.0,despejado,despejado,,180,0.4,-8.3,9.1,7438,leve,seca,1000,3100.0,22.3,False,False,False,5,12,354,True,BAJO,synthetic
12.5,74,1008,16.3,271,4380,4.0,lluvia_ligera,cubierto,,0,16.3,0.3,22.8,1164,leve,humeda,1000,940.0,8.1,False,False,False,8,6,166,False,MODERADO,synthetic
26.4,73,1018,18.1,185,8718,1.7,nublado,nublado,,315,13.9,-11.6,25.3,3389,leve,humeda,2000,3848.0,22.2,False,False,False,23,9,255,True,BAJO,synthetic
31.5,30,1012,18.6,202,8552,0.0,despejado,despejado,,315,17.1,-7.3,24.2,10276,ninguna,seca,2500,5080.0,24.6,False,False,False,6,7,202,False,BAJO,synthetic
14.0,52,1000,15.8,202,8360,1.7,nublado,nublado,,180,5.9,14.6,19.0,2141,leve,seca,2000,2360.0,0.7,False,False,False,2,4,90,True,BAJO,synthetic
20.5,77,1006,30.9,135,4304,27.5,granizo,cubierto,,135,0.0,30.9,37.1,1091,severa,contaminada,2500,3760.0,17.1,False,True,False,1,12,354,True,ALTO,synthetic
16.1,51,1003,13.6,268,6784,1.0,nublado,dispersas,,135,9.9,-9.3,16.3,3524,leve,humeda,1000,1372.0,4.1,False,False,False,20,8,220,False,BAJO,synthetic
23.1,72,1011,33.4,350,2923,29.7,granizo,cubierto,,90,32.9,-5.8,36.7,902,severa,mojada,1000,2212.0,18.4,False,True,False,12,9,252,False,ALTO,synthetic
18.0,68,1013,23.6,135,6184,0.6,nublado,dispersas,,270,16.7,-16.7,26.0,3914,ninguna,humeda,500,980.0,9.7,False,False,False,18,4,100,False,MODERADO,synthetic
16.7,92,1014,11.4,100,2073,0.4,niebla,cubierto,,90,2.0,11.2,13.7,465,ninguna,humeda,0,204.0,15.7,False,False,False,1,8,230,True,MODERADO,synthetic
27.7,46,1021,19.3,111,9852,0.0,despejado,despejado,,90,6.9,18.0,25.1,8725,ninguna,seca,2500,4624.0,14.6,False,False,False,19,5,130,False,BAJO,synthetic
27.9,53,1003,18.5,210,7468,0.8,nublado,nublado,,225,4.8,17.9,20.4,2652,leve,humeda,2500,4648.0,20.1,False,False,False,5,11,312,True,BAJO,synthetic
17.1,51,1003,8.0,245,6834,0.2,nublado,nublado,,315,7.5,2.7,9.6,3160,leve,humeda,2500,3352.0,11.8,False,False,False,10,6,169,False,BAJO,synthetic
8.1,75,1012,14.0,149,5263,5.8,lluvia_ligera,nublado,,135,3.4,13.6,21.0,1102,leve,mojada,2500,2272.0,5.8,True,False,False,14,6,158,False,MODERADO,synthetic
14.8,68,1000,10.5,162,7722,1.2,nublado,nublado,,45,9.4,-4.8,12.6,3615,ninguna,seca,500,596.0,5.5,False,False,False,11,3,86,False,BAJO,synthetic
17.3,97,1006,11.0,190,1327,0.5,niebla,cubierto,,180,1.9,10.8,14.3,609,ninguna,mojada,500,896.0,16.7,False,False,False,11,7,207,False,MODERADO,synthetic
10.1,71,1006,18.2,319,5937,3.3,lluvia_ligera,nublado,,0,11.9,13.7,25.5,1340,moderada,humeda,2000,1892.0,5.4,False,False,False,7,7,200,False,MODERADO,synthetic
34.5,35,1015,8.2,9,8509,0.0,despejado,despejado,,225,4.8,-6.6,10.7,5590,leve,seca,500,2960.0,26.6,False,False,False,19,7,187,False,BAJO,synthetic
17.4,98,999,33.7,74,1634,15.5,lluvia_fuerte,cubierto,,90,9.3,32.4,37.1,695,severa,mojada,1000,1528.0,15.6,False,True,False,1,4,99,True,ALTO,synthetic
15.3,96,986,49.1,132,1667,15.3,tormenta,cubierto,,90,32.9,36.5,63.8,913,moderada,mojada,1000,1276.0,13.9,False,True,False,2,1,17,True,ALTO,synthetic
12.0,96,989,35.7,228,1330,27.2,tormenta,cubierto,,90,23.9,-26.5,42.8,428,severa,contaminada,0,-360.0,10.3,False,True,False,8,9,258,False,ALTO,synthetic
8.4,96,1008,5.2,141,1894,1.8,niebla,cubierto,,270,4.0,-3.3,7.3,492,ninguna,humeda,0,-792.0,7.9,True,False,False,18,3,73,False,MODERADO,synthetic
10.6,72,1016,25.4,83,3575,2.9,lluvia_ligera,nublado,,315,20.0,-15.6,35.6,1351,leve,humeda,1000,712.0,7.2,False,False,False,18,10,298,False,MODERADO,synthetic
14.4,99,1002,11.9,297,2438,1.0,niebla,cubierto,,90,5.4,-10.6,15.5,705,ninguna,mojada,2000,2408.0,13.1,False,False,False,6,5,139,False,MODERADO,synthetic
24.9,56,1016,13.4,104,6609,0.2,nublado,dispersas,,315,6.9,-11.5,16.1,3557,ninguna,seca,2500,4288.0,16.0,False,False,False,5,5,139,True,BAJO,synthetic
9.4,93,1012,6.6,76,1567,0.2,niebla,cubierto,,315,5.7,-3.4,8.6,436,ninguna,mojada,500,-52.0,7.6,True,False,False,16,5,148,False,MODERADO,synthetic
22.0,88,1012,24.1,65,3026,3.9,lluvia_ligera,cubierto,,90,10.2,21.8,26.5,2120,moderada,mojada,500,1460.0,19.3,False,False,False,2,12,346,True,MODERADO,synthetic
15.9,40,1030,3.6,225,9618,0.0,despejado,despejado,,270,2.5,2.5,4.7,13803,ninguna,seca,0,108.0,3.9,False,False,False,19,5,134,False,BAJO,synthetic
21.8,68,1014,12.4,359,6306,1.9,nublado,dispersas,,315,8.6,8.9,17.4,1534,leve,humeda,2000,3296.0,14.8,False,False,False,9,9,263,False,BAJO,synthetic
21.1,67,1000,14.9,270,6561,1.0,nublado,dispersas,,225,10.5,10.5,17.9,3556,leve,seca,0,732.0,11.9,False,False,False,4,11,309,True,BAJO,synthetic
20.6,78,1003,10.3,294,6235,5.5,lluvia_ligera,nublado,,180,9.4,-4.2,14.4,2103,moderada,mojada,2000,3152.0,17.4,False,False,False,10,3,69,False,MODERADO,synthetic
17.4,87,1004,21.8,253,3466,5.4,lluvia_ligera,cubierto,,225,10.2,19.2,26.2,1299,leve,humeda,500,908.0,14.7,False,False,False,9,11,306,False,MODERADO,synthetic
12.7,92,1009,8.6,43,1969,1.8,niebla,cubierto,,0,5.9,6.3,10.3,519,ninguna,humeda,2000,2204.0,11.0,False,False,False,11,12,337,False,MODERADO,synthetic
7.4,93,1017,6.4,76,1680,0.9,niebla,cubierto,,90,1.5,6.2,7.7,213,ninguna,humeda,2500,2188.0,7.3,True,False,False,18,11,305,False,MODERADO,synthetic
26.0,38,1025,14.3,13,8978,0.0,despejado,despejado,,180,3.2,-13.9,17.2,9255,ninguna,seca,1000,2560.0,20.9,False,False,False,9,3,77,False,BAJO,synthetic
12.1,76,1015,11.4,106,6445,3.7,lluvia_ligera,nublado,,135,5.5,10.0,12.5,1881,leve,mojada,1000,892.0,8.7,False,False,False,21,2,37,True,BAJO,synthetic
14.0,88,1015,27.8,229,3031,3.2,lluvia_ligera,nublado,,90,18.2,-21.0,36.1,1124,leve,humeda,500,500.0,10.9,False,False,False,2,11,328,True,MODERADO,synthetic
15.1,97,1003,1.7,20,2296,0.3,niebla,cubierto,,0,0.6,1.6,2.5,241,ninguna,humeda,500,632.0,13.3,False,False,False,9,1,3,False,MODERADO,synthetic
19.8,81,1020,17.4,194,3411,5.6,lluvia_ligera,nublado,,225,9.0,14.9,19.1,1540,moderada,humeda,2000,3056.0,15.6,False,False,False,17,10,296,False,MODERADO,synthetic
